priority,region_or_city,candidate_food,food_family,core_ingredients_or_components,visual_signature,heritage_or_identity_angle,buyer_jobs,asset_series_plan,keyword_seed_en,validation_status,confidence,source_basis,risk_notes
P1,North Sumatra,Andaliman sambal / arsik,pepper condiment or fish dish,andaliman pepper local fish spices,green peppercorn-like ingredient and citrusy fish presentation,North Sumatran ingredient ecology and identity,ingredient editorial tourism menu,andaliman ingredient; sambal; arsik fish separate,andaliman North Sumatra sambal Batak pepper traditional food,ingredient source strong; dish context needs validation,medium,Surya & Tedjakusuma 2022,do not substitute Sichuan pepper and call it andaliman
P1,Bengkulu / Sumatra,Tempoyak,fermented durian condiment,fermented durian salt chili aromatics,creamy pale-yellow fermented fruit with strong sensory identity,Malay/Sumatran fermentation and seasonal durian use,food heritage editorial ingredient packaging,fermentation jar; raw fruit; cooked dish; sambal variant,tempoyak fermented durian Indonesian condiment Bengkulu,source-backed regional example; exact locality varies,medium,Surya & Tedjakusuma 2022 + local heritage source,avoid exoticizing smell or claiming all durian fermentation is tempoyak
P1,West Java,Oncom / karedok,fermented cake or raw vegetable salad,oncom legumes/peanut fermentation or raw vegetables peanut sauce,orange-red oncom and fresh green vegetables,distinct Sundanese fermentation and plant-food identity,recipe editorial food education menu,fermented ingredient; karedok bowl; sauce; preparation,oncom West Java fermented food karedok Sundanese salad,anchor requires separate validation per dish,medium,Surya & Tedjakusuma 2022 + local source,avoid mislabeling mould colour or making health claims
P1,Central Java,Tempe / sambal tumpang,fermented soybean food,soybean tempe overripe tempe coconut spices,stacked porous tempe texture or thick brown sauce,deep cultural and process story; widely adaptable ingredient,food education recipe sustainability editorial,tempe block; fermentation process; sambal tumpang separate,tempe Indonesian fermented soybean food traditional,validated ingredient; process imagery requires factual control,high,Surya & Tedjakusuma 2022,do not show unsafe mould or claim exact fermentation timing without source
P1,East Java,Rawon,black keluak beef soup,beef keluak herbs rice,black broth high contrast with green garnish,East Javanese signature and distinctive colour from keluak,menu editorial tourism recipe,black broth; keluak ingredient; spice paste; plated bowl,rawon East Java black keluak beef soup,anchor common; source validation needed,medium,regional cuisine seed research,avoid calling black colouring artificial; verify keluak identification
P1,East Java,Rujak cingur,salad with beef snout,fruit vegetables lontong cingur petis peanut sauce,colourful mixed plate with dark petis and sliced components,Surabaya/East Java local identity,menu editorial cultural food story,ingredient grid; sauce; plated mixed dish,rujak cingur Surabaya East Java traditional food petis,anchor common; detailed source needed,medium,regional cuisine seed research,animal-part depiction and naming must be accurate and respectful
P1,South Sulawesi,Coto Makassar,spiced beef soup,beef/offal broth peanuts spices,deep brown broth bowl fried shallot,South Sulawesi/Makassar food identity and soup family,menu tourism recipe,broth; spice paste; offal variant clearly labeled,coto Makassar Indonesian beef soup traditional food,anchor common; source validation needed,medium,regional cuisine seed research,avoid using offal claims unless visible and documented
P1,North Sulawesi,Tinutuan / cakalang rica-rica,porridge or spicy fish dish,rice/corn vegetables or smoked skipjack chilli,colourful vegetable porridge or red fish sambal,Manado regional ingredient and seafood identity,recipe tourism menu,porridge; smoked fish; chilli ingredients; separate dishes,tinutuan Manado porridge cakalang rica rica North Sulawesi,anchor family needs dish separation,medium,Surya & Tedjakusuma 2022 + local source,do not merge tinutuan and cakalang into one canonical dish
P1,Maluku,Papeda and kuah kuning,sago porridge with fish,sago starch fish turmeric broth,translucent elastic porridge with yellow fish soup,Maluku/Papua staple ecology and non-rice carbohydrate story,food education editorial tourism,papeda close-up; sago ingredient; fish broth separate,papeda sago porridge Maluku Papua yellow fish soup,anchor strong but locality varies,medium,Indonesia mapping + local source,avoid generic “African fufu” comparison; show texture accurately
P1,Papua,Sagu bakar / sago-based food,sago staple,sago flour local ingredients,porous baked cake or sago material texture,indigenous staple and local resource narrative,food heritage editorial ingredient education,sago plant; flour; baked food; local serving context,sago Papua traditional food Indonesia,needs local-source validation,low,Indonesia mapping,community consultation recommended; avoid pan-Papuan generalization
P2,West Sumatra,Keripik sanjai,cassava chip snack,cassava chilli glaze,thin chips red glossy sambal coating,Padang/Minang snack and portable format,packaging menu tourism,single chips; stacked chips; sauce glaze,keripik sanjai West Sumatra cassava chips,anchor common; source validation needed,medium,regional cuisine seed research,avoid brand-like packaging and unreadable labels
P2,East Java,Getuk pisang,banana rice cake,banana sticky rice sugar leaf wrap,bright purple/brown sliced cylinders banana leaves,regional snack and leaf-wrapped visual system,food editorial tourism packaging,whole wrap; slices; banana ingredient,getuk pisang East Java banana rice cake traditional snack,needs local-source validation,low,regional cuisine seed research,do not invent ceremonial use
P2,Central Java,Serabi,griddle rice pancake,rice flour coconut milk palm sugar,small lacy pancakes with coconut sauce,traditional market and snack identity,menu bakery tourism,single pancake; stack; batter process,serabi Indonesian rice pancake traditional snack,anchor common; regional subtype needed,medium,regional cuisine seed research,avoid conflating Solo/Bandung variants
P2,West Java,Surabi,griddle rice pancake,rice flour coconut milk savoury/sweet topping,thicker round pancake charcoal/griddle texture,Sundanese snack identity,menu bakery tourism,sweet and savoury variants separate,surabi Bandung Sundanese rice pancake traditional food,needs local source,low,regional cuisine seed research,regional spelling and toppings need validation
P2,Indonesia-wide,Klepon,filled rice cake,glutinous rice palm sugar grated coconut,green spheres with coconut and sugar burst,recognizable snack and colour silhouette,menu packaging editorial,whole; cutaway; coconut/sugar ingredient,klepon Indonesian green rice cake palm sugar coconut,anchor common; country-wide framing needs care,medium,food identity/recipe seed,avoid synthetic colour assumptions; verify regional naming
P2,Jakarta,Kerak telor,egg sticky rice omelette,glutinous rice egg coconut shrimp,round pan-set omelette with toasted coconut,Betawi/Jakarta local identity and street-food story,menu tourism editorial,pan process; plated; ingredient close-up,kerak telor Betawi Jakarta traditional food,anchor common; source validation needed,medium,regional cuisine seed research,avoid crowded street scene default and brand signage
P2,Riau / Malay region,Lakse / mie sagu,sago noodle dish,sago noodles fish or seafood local herbs,translucent noodles and regional toppings,non-wheat staple and Malay regional ecology,food education tourism recipe,noodle nest; sago ingredient; seafood variant,mie sagu Riau sago noodles traditional food,needs local-source validation,low,Indonesia mapping + local source,avoid confusing with laksa from other regions
P2,South Sumatra,tekwan/fish soup,fish-and-tapioca soup,fish balls sago mushrooms broth,small white fish balls in clear broth,Palembang fishery and sago identity,menu recipe tourism,fish ball; broth; mushrooms; serving bowl,tekwan Palembang fish soup sago traditional food,needs local-source validation,medium,regional cuisine seed research,do not merge with pempek shapes or cuko
P2,East Nusa Tenggara,Jagung bose,corn and bean porridge,corn beans coconut,thick yellow porridge with beans,local staple adaptation in dryland ecology,food heritage editorial sustainable food story,ingredient objects; pot; plated porridge,jagung bose East Nusa Tenggara corn bean porridge,needs local-source validation,low,Indonesia mapping,avoid generalized “poor food” framing
P2,West Kalimantan,Bubur pedas,spiced vegetable porridge,rice/vegetables herbs,green-brown porridge with fine shredded ingredients,Malay/Kalimantan regional identity and communal food story,recipe editorial tourism,bowl; herb ingredients; preparation steps,bubur pedas Kalimantan traditional spicy porridge,needs local-source validation,low,regional cuisine seed research,verify province and ingredient composition
P2,Bali,Lawar,mixed vegetable/meat salad,coconut vegetables spices optional meat,finely chopped colourful mixture with grated coconut,Balinese food system and local ritual context,food heritage editorial tourism,ingredient grid; bowl; vegetarian/meat variants,lawar Balinese traditional salad coconut vegetables,needs local-source validation,medium,regional cuisine seed research,ritual claims and meat type require careful sourcing
P2,West Sumatra,Dendeng balado,dried beef with chilli,thin beef slices chilli tomato,red chilli over dark crisp slices,Minang preserved-meat and sambal visual,menu packaging editorial,slices; chilli topping; drying/process concept,dendeng balado Minang dried beef sambal traditional food,needs local-source validation,medium,regional cuisine seed research,avoid conflating with rendang or generic jerky
