priority_tier,region,country,anchor_food_candidate,local_name_or_keyword,food_family,visual_signature,buyer_jobs,first_asset_format,search_keywords_en,validation_status,confidence,source_basis,recommended_next_action,risk_notes
P0,Europe,France,Gastronomic meal or baguette,Gastronomic meal of the French,meal ritual or bread,structured courses beautiful table seasonal local products,editorial hospitality tourism cookbook,isolated bread or table-setting object,French gastronomic meal baguette local seasonal food,validated social practice; not a single dish,high,UNESCO Gastronomic Meal of the French,keep ritual and dish assets as separate briefs,avoid wine/alcohol in default asset; no claim of national uniformity
P0,South America,Peru,Ceviche,Ceviche,marinated seafood,citrus-cured fish red onion lime coriander,menu editorial tourism food packaging,isolated bowl + ingredient cluster,Peruvian ceviche lime fish red onion traditional food,anchor strong; specific preparation requires validation,medium,seed research + food identity scholarship,create seafood and plant-based variants only with clear labels,avoid food-safety implication and raw-fish health claims
P1,South-East Asia,Malaysia,Nasi lemak,Nasi lemak,rice plate,coconut rice sambal peanuts anchovies cucumber egg banana leaf,menu tourism packaging editorial,isolated plate + component objects,nasi lemak Malaysian coconut rice sambal,validated anchor; shared regional context,high,food identity study + seed research,produce component modular assets,avoid exclusivity disputes and fake restaurant packaging
P1,South-East Asia,Philippines,Adobo,Adobo,braised meat or vegetable dish,soy-vinegar glaze bay leaf garlic bowl rice,recipe editorial menu tourism,isolated dish + ingredient objects,Filipino adobo vinegar soy garlic traditional food,anchor strong; local variants exist,high,food identity study + seed research,validate pork/chicken/vegetable variants separately,avoid assuming one protein is universal; dietary labeling
P1,South-East Asia,Singapore,Hainanese chicken rice or hawker spread,Hainanese chicken rice,hawker meal,poached chicken rice chilli sauce cucumber,editorial tourism menu small business,isolated plate + modular sauces, Singapore hawker food chicken rice traditional cuisine,anchor strong; shared diaspora lineage,medium,UNESCO hawker culture + seed research,focus on dish not hawker location unless sourced,avoid depicting identifiable stalls/brands
P1,South Asia,Sri Lanka,Kottu roti,Kottu roti,chopped flatbread stir-fry,metal blades flatbread strips curry egg vegetables,street-food editorial tourism menu,isolated plate + ingredient/process object,Sri Lankan kottu roti street food curry,anchor strong; local variants,medium,seed research,validate spelling and regional variant,avoid implying unsafe or unhygienic preparation
P1,South Asia,Nepal,Momo,Momo,steamed dumpling,pleated dumplings bamboo steamer achar,menu editorial tourism recipe packaging,isolated steamer + dumpling close-up,Nepali momo dumplings achar traditional food,anchor strong; shared Himalayan context,medium,seed research,create vegetarian and meat variants separately,avoid exclusive-origin claims for shared dumplings
P1,Middle East,Iran,Chelow kebab or ghormeh sabzi,Chelow kebab,grilled skewer meal,saffron rice kebab grilled tomato sumac,menu editorial tourism recipe,isolated platter + ingredient objects,Iranian chelow kebab saffron rice traditional food,anchor broad; dish selection required,medium,seed research,validate name transliteration and regional style,avoid political/news context and named restaurant marks
P1,Middle East,Lebanon,Manakish or mezze,Manakish,flatbread or mezze,round flatbread zaatar olive oil or colourful small plates,menu editorial tourism recipe,isolated flatbread + ingredient objects,Lebanese manakish zaatar mezze traditional food,anchor broad; local food system,medium,seed research,split flatbread and mezze into separate collection,avoid broad Levantine labels without locality
P1,North Africa,Morocco,Tagine,Tagine,slow-cooked stew,conical earthenware vessel couscous vegetables preserved lemon,menu editorial tourism cookbook,isolated tagine vessel + plated stew,Moroccan tagine preserved lemon couscous,anchor strong; regional variants,high,seed research,model vessel and dish as separate subjects,avoid claiming all conical pots are Moroccan or adding false motifs
P1,North Africa,Egypt,Koshari,Koshari,grain-legume street meal,rice lentils pasta chickpeas tomato sauce fried onion,menu editorial tourism budget-food story,isolated bowl + ingredient layer,koshari Egyptian rice lentils pasta traditional food,anchor strong,medium,seed research,validate spelling and serving format,avoid poverty stereotypes and excessive clutter
P1,West Africa,Nigeria,Jollof rice,Jollof rice,spiced rice dish,red tomato rice peppers plantain,menu editorial diaspora food tourism,isolated bowl + component objects,Nigerian jollof rice tomato pepper traditional food,anchor strong; regional debate,medium,food identity + seed research,create Nigeria-specific metadata and separate Ghana candidate,avoid framing as a winner in origin disputes
P1,West Africa,Ghana,Waakye or banku,Waakye,bean-rice meal,deep red-brown rice beans leaves sides,menu editorial tourism food story,isolated plate + ingredient objects,Ghanaian waakye rice beans traditional food,anchor medium,low,seed research,validate with Ghanaian culinary source before production,avoid conflating waakye with jollof
P1,Southern Africa,South Africa,Bobotie,Bobotie,baked spiced mince dish,golden egg custard topping curry spices,recipe editorial menu tourism,isolated casserole slice + spices,South African bobotie traditional food curry egg,anchor medium,medium,seed research,validate Cape Malay context,avoid colonial essentialism and meat claims without specificity
P1,South America,Brazil,Feijoada,Feijoada,bean stew,dark beans pork cuts orange farofa greens,menu editorial tourism recipe,isolated pot + plated components,Brazilian feijoada black bean stew farofa,anchor strong; historical complexity,medium,food identity + seed research,create complete plate and ingredient objects,avoid simplified origin claims and identifiable brand packaging
P1,South America,Argentina,Asado or empanada,Empanada,filled pastry,crimped pastry varied fillings oven tray,menu editorial street-food tourism,isolated pastry family + cutaway,Argentine empanada traditional pastry regional filling,anchor strong; regional variation,high,seed research,build a filling taxonomy with region field,avoid naming a province without validation
P1,South America,Colombia,Arepa,Arepa,corn cake,round griddled corn cake split with filling,menu editorial breakfast tourism packaging,isolated arepa + corn dough,Colombian arepa corn cake traditional food,anchor strong; shared regional context,high,seed research,create plain and filled variants,avoid exclusive origin claims across Colombia/Venezuela
P1,Caribbean,Jamaica,Jerk chicken,Jerk chicken,spiced grilled food,charred chicken allspice scallion Scotch bonnet,menu editorial tourism barbecue,isolated plate + spice objects,Jamaican jerk chicken pimento Scotch bonnet traditional food,anchor strong; process and seasoning important,medium,seed research,validate terminology and pepper depiction,avoid using “authentic” without source and avoid unsafe raw meat appearance
P1,Europe,Spain,Paella,Paella,rice dish,wide pan saffron rice seafood or vegetables,menu editorial tourism packaging,isolated paella pan + serving,Spanish paella saffron rice Valencia traditional food,anchor strong; Valencia-specific style required,high,seed research,make Valencia and other variants distinct,avoid mixing seafood and inland recipes arbitrarily
P1,Europe,Portugal,Pastel de nata,Pastel de nata,custard pastry,small blistered custard tarts flaky pastry,menu editorial tourism packaging,isolated pastry tray + cutaway,Portuguese pastel de nata custard tart traditional food,anchor strong,high,seed research,produce clean bakery assets no brand,avoid claiming a specific bakery or recipe secret
P1,Europe,Greece,Moussaka or souvlaki,Moussaka,baked layered dish,eggplant potato minced filling béchamel,menu editorial tourism recipe,isolated slice + casserole,MGreek moussaka eggplant béchamel traditional food,anchor broad; regional history complex,medium,seed research,validate name and regional framing,avoid representing all Greek cuisine with one dish
P1,Europe,Germany,Pretzel,Brezel / pretzel,baked bread,twisted brown crust coarse salt,menu bakery tourism packaging,isolated pretzel + dough process,German pretzel brezel traditional bakery,anchor strong; shared Central European food,medium,seed research,validate regional term,avoid exclusive origin claims for all pretzels
P1,Europe,Poland,Pierogi,Pierogi,filled dumpling,half-moon dough sour cream dill,menu tourism recipe packaging,isolated dumpling family + filling cutaway,Polish pierogi dumplings traditional food,anchor strong,high,seed research,create savoury and sweet variants,avoid implying one filling is canonical
P1,Europe,Ukraine,Borscht,Borshch / borscht,beet soup,deep red broth beet dill sour cream,menu editorial tourism recipe,isolated bowl + beet ingredient, Ukrainian borscht beet soup traditional food,anchor shared regional context,medium,food identity + seed research,validate local spelling and variant,avoid geopolitical/news framing
P2,South Asia,Bangladesh,Bhapa pitha or hilsa curry,Bhapa pitha,steamed rice cake,banana leaf rice cake coconut jaggery,food editorial festival tourism,isolated leaf-wrapped snack + ingredients,Bangladeshi bhapa pitha traditional rice cake,anchor medium,low,seed research,validate Bangladeshi source and seasonal context,avoid generic Southeast Asian banana-leaf labels
P2,South Asia,Pakistan,Nihari,Nihari,slow-cooked stew,deep brown gravy ginger coriander naan,menu editorial tourism recipe,isolated bowl + spice objects,Pakistani nihari slow cooked stew traditional food,anchor strong but regional,medium,seed research,validate regional/cultural context,avoid unsupported “national dish” claim
P2,South-East Asia,Cambodia,Amok,Amok,steamed curry,banana leaf cup coconut fish curry,menu editorial tourism recipe,isolated banana-leaf cup + ingredients,Cambodian fish amok banana leaf curry traditional food,anchor strong,medium,seed research,validate exact preparation and fish choice,avoid generic Thai curry styling
P2,South-East Asia,Laos,Larb,Larb,herb meat salad,minced meat herbs toasted rice powder lime,menu editorial tourism recipe,isolated bowl + herb ingredients,Lao larb laap herb salad traditional food,anchor strong but shared region,medium,seed research,validate transliteration and regional variants,avoid conflating with Thai versions
P2,South-East Asia,Myanmar,Mohinga,Mohinga,noodle fish soup,fish broth rice noodles banana stem herbs,menu editorial tourism breakfast,isolated bowl + ingredients,Myanmar mohinga fish noodle soup traditional food,anchor medium,low,seed research,validate local source before production,avoid political/news context
P2,East Asia,Mongolia,Buuz,Buuz,steamed dumpling,pleated meat dumplings steamer,menu editorial tourism winter food,isolated steamer + dumpling close-up,Mongolian buuz dumplings traditional food,anchor strong,medium,seed research,validate seasonal context and spelling,avoid stereotyped nomad props
P2,Central Asia,Uzbekistan,Plov,Plov / osh,rice pilaf,orange carrot rice lamb large communal dish,menu editorial tourism celebration,isolated bowl + ingredient objects,Uzbek plov osh rice carrots lamb traditional food,anchor strong,medium,seed research,validate regional version,avoid presenting communal ritual as generic dining
P2,Caucasus,Georgia,Khachapuri,Khachapuri,cheese bread,boat-shaped bread egg cheese,menu editorial tourism bakery,isolated bread + cheese cutaway,Georgian khachapuri cheese bread traditional food,anchor strong,high,seed research,model regional shapes separately,avoid claiming one shape represents all Georgia
P2,Caucasus,Armenia,Dolma,Dolma,stuffed leaf dish,grape leaves rice herbs yogurt,menu editorial tourism recipe,isolated rolled leaves + grape leaves,Armenian dolma stuffed vine leaves traditional food,anchor shared regional context,medium,seed research,validate local terminology and variant,avoid ethnic ownership claims for shared dishes
P2,Middle East,Saudi Arabia,Kabsa,Kabsa,spiced rice meal,fragrant rice roasted meat raisins nuts,menu editorial tourism feast,isolated platter + spice objects,Saudi kabsa rice meat traditional food,anchor strong,medium,seed research,validate regional terms,avoid mixing Gulf dishes and ceremonial claims
P2,Middle East,Israel,Falafel,Falafel,chickpea fritter,round golden fritters tahini pita herbs,menu editorial street food menu,isolated falafel + ingredient cluster,Middle Eastern falafel chickpea fritter traditional food,anchor shared regional context,medium,food identity + seed research,describe as regional dish and cite locality carefully,avoid political framing and exclusive claims
P2,North Africa,Tunisia,Couscous,Couscous,steamed semolina dish,granular couscous vegetables chickpeas harissa,menu editorial tourism recipe,isolated bowl + semolina ingredient,Tunisian couscous harissa traditional food,anchor strong; shared Maghreb practice,high,seed research + UNESCO Mediterranean diet,select Tunisian variant and document,avoid conflating all North African couscous
P2,North Africa,Algeria,Couscous,Couscous,steamed semolina dish,semolina grains vegetables lamb broth,menu editorial tourism recipe,isolated bowl + ingredient objects,Algerian couscous traditional food semolina,anchor strong; shared Maghreb practice,medium,UNESCO Mediterranean diet + seed research,create country-specific variant only after validation,avoid identical asset reuse across Tunisia/Algeria
P2,East Africa,Kenya,Nyama choma or ugali,Ugali,maize porridge,white maize mound with stew greens,menu editorial tourism food education,isolated serving + maize object,Kenyan ugali maize porridge traditional food,anchor medium,low,seed research,validate country-specific dish and plating,avoid generic Africa label or poverty framing
P2,East Africa,Tanzania,Chipsi mayai or pilau,Pilau,spiced rice,seasoned rice whole spices fried onions,menu editorial tourism recipe,isolated plate + spice objects,Tanzanian pilau rice traditional food,anchor medium,low,seed research,validate local variant,avoid collapsing East African cuisine into one rice dish
P2,West Africa,Senegal,Thieboudienne,Ceebu jën / thieboudienne,fish rice dish,whole fish tomato rice vegetables,menu editorial tourism recipe,isolated platter + ingredients,Senegalese thieboudienne fish rice traditional food,anchor strong,medium,seed research,validate transliteration and serving style,avoid fish species claim without source
P2,Indian Ocean,Madagascar,Romazava,Romazava,leafy meat stew,greens broth beef herbs,menu editorial tourism recipe,isolated bowl + leaf ingredients,Malagasy romazava traditional stew food,anchor low,low,seed research,requires local-source validation before asset,avoid overclaiming recognizability
P2,Central Africa,Angola,Muamba de galinha,Muamba de galinha,chicken palm-oil stew,red palm oil sauce chicken okra,menu editorial tourism recipe,isolated bowl + ingredient objects,Angolan muamba de galinha traditional food,anchor medium,low,seed research,validate local terminology and ingredient depiction,avoid generic West/Central African labels
P2,South America,Bolivia,Salteña,Salteña,baked filled pastry,juicy crimped pastry orange-red filling,street-food editorial tourism menu,isolated pastry + cutaway,Bolivian salteña baked pastry traditional food,anchor strong,medium,seed research,validate filling and regional context,avoid confusing with Argentine empanada
P2,South America,Ecuador,Encebollado,Encebollado,fish soup,broth tuna cassava pickled onion lime,menu editorial tourism recipe,isolated bowl + ingredient objects,Ecuadorian encebollado fish soup traditional food,anchor medium,low,seed research,validate exact fish and garnish,avoid health/food-safety claims
P2,South America,Chile,Pastel de choclo,Pastel de choclo,corn casserole,green-yellow corn topping meat olive egg,menu editorial tourism recipe,isolated casserole slice + corn objects,Chilean pastel de choclo corn casserole traditional food,anchor strong,medium,seed research,validate sweet/savoury balance,avoid conflating with tamale or shepherd pie
P2,South America,Venezuela,Arepa,Arepa,corn cake,round griddled corn cake filled with beans/cheese,menu editorial breakfast tourism,isolated arepa + corn dough,Venezuelan arepa corn cake traditional food,anchor strong; shared region,medium,seed research,create Venezuela-specific fillings and metadata,avoid exclusive origin claims shared with Colombia
P2,Caribbean,Haiti,Griot,Griot,marinated fried pork,crispy pork pieces pikliz cabbage,menu editorial tourism recipe,isolated plate + condiment,Griot Haitian fried pork pikliz traditional food,anchor medium,low,seed research,validate local terminology and dietary context,avoid stereotypes or generic Caribbean labels
P2,Europe,Austria,Apfelstrudel,Apfelstrudel,filled pastry,spiral apple pastry powdered sugar,menu bakery tourism recipe,isolated slice + pastry roll, Austrian apfelstrudel apple strudel traditional dessert,anchor strong,medium,seed research,validate regional terminology,avoid claiming all strudel is Austrian
P2,Europe,Hungary,Goulash,Gulyás,stew,simmered red paprika broth beef vegetables,menu editorial tourism recipe,isolated bowl + paprika objects,Hungarian goulash paprika stew traditional food,anchor strong,high,seed research,validate gulyas vs pörkölt distinction,avoid generic “European stew” metadata
P2,Europe,Romania,Sarmale,Sarmale,stuffed cabbage roll,cabbage rolls cornmeal sour cream,menu editorial tourism recipe,isolated plate + cabbage leaf,Sarmale Romanian stuffed cabbage traditional food,anchor medium,medium,seed research,validate local variant,avoid shared dish exclusivity claims
P2,Europe,Sweden,Meatballs or cinnamon buns,Köttbullar,meatball dish,brown meatballs lingonberry mashed potato,menu editorial tourism menu,isolated plate + berries,Swedish meatballs lingonberry traditional food,anchor strong; modern brand risk,medium,seed research,validate non-branded presentation,avoid IKEA or trademark associations
P2,Oceania,Australia,Meat pie or pavlova,Meat pie,filled pastry,individual golden pie gravy cutaway,menu editorial sports travel food,isolated pie + cutaway,Australian meat pie traditional food,anchor strong; shared Commonwealth context,medium,seed research,validate Australia-specific framing,avoid brand-like bakery marks
P2,Oceania,New Zealand,Hāngi meal,Hāngi,earth-oven meal,root vegetables meat steam earth-oven context,editorial tourism cultural education,isolated ingredients first; scene later,hangi Maori traditional food earth oven,anchor practice needs cultural consultation,low,seed research,validate Māori terminology and community context before imagery,do not fabricate sacred/tribal symbolism or depict people without releases
